,FY,Division,Code,Month,MonthNumber,MonthSortKey,FND_CAT,Pillar,Numerator_Hours,Denominator_Hours,Rate
65,2018,200,205B,Mar,06--Mar,6,MISSION,OVERHEAD,11,133.5,0.082397004
66,2018,200,205B,May,08--May,8,MISSION,OVERHEAD,18,152,0.118421053
67,2018,200,205B,Nov,02--Nov,2,MISSION,OVERHEAD,10,98,0.102040816
68,2018,200,205B,Oct,01--Oct,1,MISSION,OVERHEAD,15,168,0.089285714
69,2018,200,205B,Sep,12--Sep,12,MISSION,OVERHEAD,26,152,0.171052632
70,2018,200,205C,Apr,07--Apr,7,MISSION,OVERHEAD,0,165,0
71,2018,200,205C,Aug,11--Aug,11,MISSION,OVERHEAD,0,180,0
72,2018,200,205C,Dec,03--Dec,3,MISSION,OVERHEAD,0,128,0
73,2018,200,205C,Feb,05--Feb,5,MISSION,OVERHEAD,5,148,0.033783784
74,2018,200,205C,Jan,04--Jan,4,MISSION,OVERHEAD,0,148,0
75,2018,200,205C,Jul,10--Jul,10,MISSION,OVERHEAD,0,166.5,0
76,2018,200,205C,Jun,09--Jun,9,MISSION,FTS,3,0,0
77,2018,200,205C,Jun,09--Jun,9,MISSION,OVERHEAD,0,144,0
78,2018,200,205C,Mar,06--Mar,6,MISSION,OVERHEAD,0,176,0
79,2018,200,205C,May,08--May,8,MISSION,OVERHEAD,0,168,0
80,2018,200,205C,Nov,02--Nov,2,MISSION,OVERHEAD,0,152,0
81,2018,200,205C,Oct,01--Oct,1,MISSION,OVERHEAD,0,163,0
82,2018,200,205C,Sep,12--Sep,12,MISSION,OVERHEAD,0,95.5,0
83,2018,210,210,Apr,07--Apr,7,MISSION,OVERHEAD,0,141,0
84,2018,210,210,Aug,11--Aug,11,MISSION,OVERHEAD,0,156,0
85,2018,210,210,Dec,03--Dec,3,MISSION,OVERHEAD,24,110,0.218181818
86,2018,210,210,Feb,05--Feb,5,MISSION,OVERHEAD,16,140,0.114285714
87,2018,210,210,Jan,04--Jan,4,MISSION,OVERHEAD,0,119,0
88,2018,210,210,Jul,10--Jul,10,MISSION,OVERHEAD,8,150,0.053333333
89,2018,210,210,Jun,09--Jun,9,MISSION,OVERHEAD,0,131,0
90,2018,210,210,Mar,06--Mar,6,MISSION,OVERHEAD,0,153,0
91,2018,210,210,May,08--May,8,MISSION,OVERHEAD,0,175,0
92,2018,210,210,Nov,02--Nov,2,MISSION,OVERHEAD,0,144,0
93,2018,210,210,Oct,01--Oct,1,MISSION,OVERHEAD,0,145,0
94,2018,210,210,Sep,12--Sep,12,MISSION,OVERHEAD,0,80,0
95,2018,210,211,Apr,07--Apr,7,MISSION,FTS,0,112.5,0
96,2018,210,211,Apr,07--Apr,7,MISSION,OVERHEAD,8,199.5,0.040100251
97,2018,210,211,Apr,07--Apr,7,MISSION,TSRA,142,1621.5,0.087573235
98,2018,210,211,Aug,11--Aug,11,MISSION,FTS,0,160,0
99,2018,210,211,Aug,11--Aug,11,MISSION,OVERHEAD,3.5,310,0.011290323
100,2018,210,211,Aug,11--Aug,11,MISSION,TSRA,68.5,1545.5,0.044322226
101,2018,210,211,Aug,11--Aug,11,REIMB,REIMB,0,22,0
102,2018,210,211,Dec,03--Dec,3,MISSION,FTS,0,126,0
103,2018,210,211,Dec,03--Dec,3,MISSION,OVERHEAD,0,178,0
104,2018,210,211,Dec,03--Dec,3,MISSION,TSRA,20,1323,0.015117158
105,2018,210,211,Feb,05--Feb,5,MISSION,FTS,18,256,0.0703125
106,2018,210,211,Feb,05--Feb,5,MISSION,OVERHEAD,4,197,0.020304569
107,2018,210,211,Feb,05--Feb,5,MISSION,TSRA,12,1303,0.009209517
108,2018,210,211,Jan,04--Jan,4,MISSION,FTS,8,192,0.041666667
109,2018,210,211,Jan,04--Jan,4,MISSION,OVERHEAD,0,212.5,0
110,2018,210,211,Jan,04--Jan,4,MISSION,TSRA,115,1348,0.085311573
111,2018,210,211,Jan,04--Jan,4,REIMB,REIMB,0,40.5,0
112,2018,210,211,Jul,10--Jul,10,MISSION,FTS,0,156,0
113,2018,210,211,Jul,10--Jul,10,MISSION,OVERHEAD,7.2,447.5,0.016089385
114,2018,210,211,Jul,10--Jul,10,MISSION,TSRA,50.5,1339,0.037714712
115,2018,210,211,Jun,09--Jun,9,MISSION,FTS,0,132,0
116,2018,210,211,Jun,09--Jun,9,MISSION,OVERHEAD,18,289.5,0.062176166
117,2018,210,211,Jun,09--Jun,9,MISSION,TSRA,36,1453.5,0.024767802
118,2018,210,211,Mar,06--Mar,6,MISSION,FTS,0,166,0
119,2018,210,211,Mar,06--Mar,6,MISSION,OVERHEAD,0,207,0
120,2018,210,211,Mar,06--Mar,6,MISSION,TSRA,32,1664,0.019230769
121,2018,210,211,Mar,06--Mar,6,REIMB,REIMB,0,36,0
122,2018,210,211,May,08--May,8,MISSION,FTS,0,150,0
123,2018,210,211,May,08--May,8,MISSION,OVERHEAD,0,218.5,0
124,2018,210,211,May,08--May,8,MISSION,TSRA,46,1560.5,0.029477731
125,2018,210,211,Nov,02--Nov,2,MISSION,FTS,8,147,0.054421769
126,2018,210,211,Nov,02--Nov,2,MISSION,OVERHEAD,0,169,0
127,2018,210,211,Nov,02--Nov,2,MISSION,TSRA,13.5,1354,0.009970458
128,2018,210,211,Nov,02--Nov,2,REIMB,REIMB,0,20,0
129,2018,210,211,Oct,01--Oct,1,MISSION,FTS,32,158,0.202531646
130,2018,210,211,Oct,01--Oct,1,MISSION,OVERHEAD,0,157,0
131,2018,210,211,Oct,01--Oct,1,MISSION,TSRA,5.5,1543.5,0.00356333
132,2018,210,211,Sep,12--Sep,12,MISSION,FTS,0,157,0
133,2018,210,211,Sep,12--Sep,12,MISSION,OVERHEAD,0,253.5,0
134,2018,210,211,Sep,12--Sep,12,MISSION,TSRA,39,1033.5,0.037735849
135,2018,210,212,Apr,07--Apr,7,MISSION,FTS,0,983.5,0
136,2018,210,212,Apr,07--Apr,7,MISSION,OVERHEAD,0,19,0
137,2018,210,212,Apr,07--Apr,7,REIMB,REIMB,16,152,0.105263158
138,2018,210,212,Aug,11--Aug,11,MISSION,,0,14,0
139,2018,210,212,Aug,11--Aug,11,MISSION,FTS,0,961,0
140,2018,210,212,Aug,11--Aug,11,MISSION,OVERHEAD,0,166,0
141,2018,210,212,Aug,11--Aug,11,MISSION,TSRA,0,16,0
142,2018,210,212,Aug,11--Aug,11,REIMB,REIMB,10,114,0.087719298
143,2018,210,212,Dec,03--Dec,3,MISSION,FTS,0,867,0
144,2018,210,212,Dec,03--Dec,3,REIMB,REIMB,0,42,0
145,2018,210,212,Feb,05--Feb,5,MISSION,FTS,42,1092.5,0.038443936
146,2018,210,212,Feb,05--Feb,5,REIMB,REIMB,4,50,0.08
147,2018,210,212,Jan,04--Jan,4,MISSION,FTS,46,1077.5,0.042691415
148,2018,210,212,Jan,04--Jan,4,MISSION,OVERHEAD,0,15.5,0
149,2018,210,212,Jan,04--Jan,4,REIMB,REIMB,0,16,0
150,2018,210,212,Jul,10--Jul,10,MISSION,,0,1,0
151,2018,210,212,Jul,10--Jul,10,MISSION,FTS,0,758.5,0
152,2018,210,212,Jul,10--Jul,10,MISSION,OVERHEAD,0,265.5,0
153,2018,210,212,Jul,10--Jul,10,REIMB,REIMB,0,96,0
154,2018,210,212,Jun,09--Jun,9,MISSION,FTS,53,748.5,0.070808283
155,2018,210,212,Jun,09--Jun,9,MISSION,OVERHEAD,0,273,0
156,2018,210,212,Jun,09--Jun,9,REIMB,REIMB,30,88,0.340909091
157,2018,210,212,Mar,06--Mar,6,MISSION,FTS,14,1058.5,0.013226264
158,2018,210,212,Mar,06--Mar,6,REIMB,REIMB,16,85,0.188235294
159,2018,210,212,May,08--May,8,MISSION,FTS,8,1087,0.007359706
160,2018,210,212,May,08--May,8,MISSION,OVERHEAD,0,185.5,0
161,2018,210,212,Nov,02--Nov,2,MISSION,FTS,21.5,962,0.022349272
162,2018,210,212,Nov,02--Nov,2,MISSION,OVERHEAD,0,1,0
163,2018,210,212,Nov,02--Nov,2,REIMB,REIMB,15.5,80,0.19375
164,2018,210,212,Oct,01--Oct,1,MISSION,FTS,38,1010,0.037623762
165,2018,210,212,Oct,01--Oct,1,REIMB,REIMB,0,155,0
166,2018,210,212,Sep,12--Sep,12,MISSION,,0,15,0
167,2018,210,212,Sep,12--Sep,12,MISSION,FTS,0,0,0
168,2018,210,212,Sep,12--Sep,12,MISSION,OVERHEAD,8,863,0.009269988
169,2018,210,212,Sep,12--Sep,12,REIMB,REIMB,16,70,0.228571429
170,2018,210,213,Apr,07--Apr,7,MISSION,OVERHEAD,8,512,0.015625
171,2018,210,213,Aug,11--Aug,11,MISSION,OVERHEAD,0,501.5,0
172,2018,210,213,Dec,03--Dec,3,MISSION,OVERHEAD,0,524,0
173,2018,210,213,Feb,05--Feb,5,MISSION,OVERHEAD,0,584,0
174,2018,210,213,Jan,04--Jan,4,MISSION,OVERHEAD,0,543,0
175,2018,210,213,Jul,10--Jul,10,MISSION,OVERHEAD,0,424,0
176,2018,210,213,Jun,09--Jun,9,MISSION,OVERHEAD,0,512,0
177,2018,210,213,Mar,06--Mar,6,MISSION,OVERHEAD,14,618,0.022653722
178,2018,210,213,May,08--May,8,MISSION,OVERHEAD,12,616,0.019480519
179,2018,210,213,Nov,02--Nov,2,MISSION,OVERHEAD,0,554,0
180,2018,210,213,Oct,01--Oct,1,MISSION,OVERHEAD,0,631.5,0
181,2018,210,213,Sep,12--Sep,12,MISSION,OVERHEAD,7,368.3,0.019006245
182,2018,220,220,Apr,07--Apr,7,MISSION,CMO,4,0,0
183,2018,220,220,Apr,07--Apr,7,MISSION,OVERHEAD,48,160,0.3
184,2018,220,220,Aug,11--Aug,11,MISSION,CMO,6,0,0
185,2018,220,220,Aug,11--Aug,11,MISSION,OVERHEAD,43,174,0.247126437
186,2018,220,220,Dec,03--Dec,3,MISSION,OVERHEAD,0,133,0
187,2018,220,220,Feb,05--Feb,5,MISSION,OVERHEAD,10,96,0.104166667
188,2018,220,220,Jan,04--Jan,4,MISSION,OVERHEAD,0,128,0
189,2018,220,220,Jul,10--Jul,10,MISSION,CMO,2,0,0
190,2018,220,220,Jul,10--Jul,10,MISSION,OVERHEAD,40.5,112,0.361607143
191,2018,220,220,Jun,09--Jun,9,MISSION,OVERHEAD,42.7,104,0.410576923
192,2018,220,220,Mar,06--Mar,6,MISSION,OVERHEAD,53.3,144,0.370138889
193,2018,220,220,May,08--May,8,MISSION,OVERHEAD,48,128,0.375
194,2018,220,220,Nov,02--Nov,2,MISSION,OVERHEAD,0,112,0
195,2018,220,220,Oct,01--Oct,1,MISSION,OVERHEAD,0,150,0
196,2018,220,220,Sep,12--Sep,12,MISSION,CMO,0,0,0
197,2018,220,220,Sep,12--Sep,12,MISSION,OVERHEAD,55,108,0.509259259
198,2018,220,221,Apr,07--Apr,7,MISSION,CMO,368,2535,0.145167653
199,2018,220,221,Apr,07--Apr,7,MISSION,OVERHEAD,0,35,0
200,2018,220,221,Apr,07--Apr,7,REIMB,REIMB,66,261.5,0.252390057
201,2018,220,221,Aug,11--Aug,11,MISSION,CMO,288,2458.5,0.1171446
202,2018,220,221,Aug,11--Aug,11,MISSION,OVERHEAD,4,220,0.018181818
203,2018,220,221,Aug,11--Aug,11,REIMB,REIMB,79,305,0.259016393
204,2018,220,221,Dec,03--Dec,3,MISSION,CMO,231,1978.5,0.116755118
205,2018,220,221,Dec,03--Dec,3,MISSION,OVERHEAD,0,116,0
206,2018,220,221,Dec,03--Dec,3,REIMB,REIMB,28,162,0.172839506
207,2018,220,221,Feb,05--Feb,5,MISSION,CMO,476,2426,0.196207749
208,2018,220,221,Feb,05--Feb,5,MISSION,OVERHEAD,0,39,0
209,2018,220,221,Feb,05--Feb,5,REIMB,REIMB,82,208,0.394230769
210,2018,220,221,Jan,04--Jan,4,MISSION,CMO,401.5,2384,0.16841443
211,2018,220,221,Jan,04--Jan,4,MISSION,OVERHEAD,0,96,0
212,2018,220,221,Jan,04--Jan,4,REIMB,REIMB,15,165,0.090909091
213,2018,220,221,Jul,10--Jul,10,MISSION,CMO,202.5,2128,0.095159774
214,2018,220,221,Jul,10--Jul,10,MISSION,OVERHEAD,2,264,0.007575758
215,2018,220,221,Jul,10--Jul,10,REIMB,REIMB,49,259,0.189189189
216,2018,220,221,Jun,09--Jun,9,MISSION,CMO,228.5,2144,0.106576493
217,2018,220,221,Jun,09--Jun,9,MISSION,OVERHEAD,0,381,0
218,2018,220,221,Jun,09--Jun,9,REIMB,REIMB,66,272,0.242647059
219,2018,220,221,Mar,06--Mar,6,MISSION,,0,80,0
220,2018,220,221,Mar,06--Mar,6,MISSION,CMO,434.5,2697.5,0.16107507
221,2018,220,221,Mar,06--Mar,6,MISSION,OVERHEAD,0,90,0
222,2018,220,221,Mar,06--Mar,6,MISSION,TSRA,60,0,0
223,2018,220,221,Mar,06--Mar,6,REIMB,REIMB,80.5,263,0.30608365
224,2018,220,221,May,08--May,8,MISSION,CMO,389.5,2496.5,0.156018426
225,2018,220,221,May,08--May,8,MISSION,OVERHEAD,0,156,0
226,2018,220,221,May,08--May,8,REIMB,REIMB,75.5,323,0.23374613
227,2018,220,221,Nov,02--Nov,2,MISSION,CMO,303.5,2185,0.138901602
228,2018,220,221,Nov,02--Nov,2,MISSION,OVERHEAD,4,64,0.0625
229,2018,220,221,Nov,02--Nov,2,REIMB,REIMB,44.5,172,0.25872093
230,2018,220,221,Oct,01--Oct,1,MISSION,CMO,211.5,2349,0.090038314
231,2018,220,221,Oct,01--Oct,1,MISSION,OVERHEAD,20,204,0.098039216
232,2018,220,221,Oct,01--Oct,1,REIMB,REIMB,23.5,92,0.255434783
233,2018,220,221,Sep,12--Sep,12,MISSION,CMO,159.5,1849,0.086262845
234,2018,220,221,Sep,12--Sep,12,MISSION,OVERHEAD,0,111,0
235,2018,220,221,Sep,12--Sep,12,REIMB,REIMB,38,244,0.155737705
236,2018,220,222,Apr,07--Apr,7,MISSION,CMO,410,2360.5,0.173692014
237,2018,220,222,Apr,07--Apr,7,MISSION,OVERHEAD,17,231,0.073593074
238,2018,220,222,Apr,07--Apr,7,REIMB,REIMB,61,168,0.363095238
239,2018,220,222,Aug,11--Aug,11,MISSION,CMO,416.5,2285.5,0.182235835
240,2018,220,222,Aug,11--Aug,11,MISSION,OVERHEAD,40,380,0.105263158
241,2018,220,222,Aug,11--Aug,11,REIMB,REIMB,44,160,0.275
242,2018,220,222,Dec,03--Dec,3,MISSION,,0,0,0
243,2018,220,222,Dec,03--Dec,3,MISSION,CMO,340.5,1525,0.223278689
244,2018,220,222,Dec,03--Dec,3,MISSION,OVERHEAD,16,236,0.06779661
245,2018,220,222,Dec,03--Dec,3,REIMB,REIMB,8,110,0.072727273
246,2018,220,222,Feb,05--Feb,5,MISSION,CMO,426,2113.5,0.201561391
247,2018,220,222,Feb,05--Feb,5,MISSION,OVERHEAD,16.5,155,0.106451613
248,2018,220,222,Feb,05--Feb,5,REIMB,REIMB,0,9,0
249,2018,220,222,Jan,04--Jan,4,MISSION,CMO,369.5,2015.5,0.183329199
250,2018,220,222,Jan,04--Jan,4,MISSION,OVERHEAD,37,95,0.389473684
251,2018,220,222,Jan,04--Jan,4,REIMB,REIMB,0,157,0
252,2018,220,222,Jul,10--Jul,10,MISSION,CMO,399.5,2015,0.198263027
253,2018,220,222,Jul,10--Jul,10,MISSION,OVERHEAD,21.5,466,0.046137339
254,2018,220,222,Jul,10--Jul,10,REIMB,REIMB,72,160,0.45
255,2018,220,222,Jun,09--Jun,9,MISSION,CMO,426.5,1913.5,0.222889992
256,2018,220,222,Jun,09--Jun,9,MISSION,OVERHEAD,27,483,0.055900621
257,2018,220,222,Jun,09--Jun,9,REIMB,REIMB,54,160,0.3375
258,2018,220,222,Mar,06--Mar,6,MISSION,CMO,487,2419,0.201322861
259,2018,220,222,Mar,06--Mar,6,MISSION,FTS,0,0,0
260,2018,220,222,Mar,06--Mar,6,MISSION,OVERHEAD,32,291,0.109965636
261,2018,220,222,Mar,06--Mar,6,REIMB,REIMB,29,152,0.190789474
262,2018,220,222,May,08--May,8,MISSION,CMO,402,2170,0.185253456
263,2018,220,222,May,08--May,8,MISSION,OVERHEAD,22,474,0.046413502
264,2018,220,222,May,08--May,8,REIMB,REIMB,52,168,0.30952381
265,2018,220,222,Nov,02--Nov,2,MISSION,CMO,351.5,1900,0.185
266,2018,220,222,Nov,02--Nov,2,MISSION,FTS,0,13,0
267,2018,220,222,Nov,02--Nov,2,MISSION,OVERHEAD,8.5,81,0.104938272
268,2018,220,222,Nov,02--Nov,2,REIMB,REIMB,11,98,0.112244898
269,2018,220,222,Oct,01--Oct,1,MISSION,CMO,361.5,2342,0.154355252
270,2018,220,222,Oct,01--Oct,1,MISSION,FTS,0,0,0
271,2018,220,222,Oct,01--Oct,1,MISSION,OVERHEAD,47.1,237,0.198734177
272,2018,220,222,Oct,01--Oct,1,MISSION,TSRA,0,0,0
273,2018,220,222,Oct,01--Oct,1,REIMB,REIMB,0,44,0
274,2018,220,222,Sep,12--Sep,12,MISSION,CMO,291.5,1645.5,0.177149802
275,2018,220,222,Sep,12--Sep,12,MISSION,OVERHEAD,21.5,315,0.068253968
276,2018,220,222,Sep,12--Sep,12,REIMB,REIMB,28,130,0.215384615
277,2018,220,223,Apr,07--Apr,7,MISSION,CMO,0,594.5,0
278,2018,220,223,Apr,07--Apr,7,MISSION,OVERHEAD,0,51,0
279,2018,220,223,Apr,07--Apr,7,REIMB,REIMB,0,1,0
280,2018,220,223,Aug,11--Aug,11,MISSION,CMO,38,448,0.084821429
281,2018,220,223,Aug,11--Aug,11,MISSION,OVERHEAD,12,160,0.075
282,2018,220,223,Aug,11--Aug,11,REIMB,REIMB,0,3,0
283,2018,220,223,Dec,03--Dec,3,MISSION,CMO,0,433,0
284,2018,220,223,Dec,03--Dec,3,MISSION,OVERHEAD,0,42,0
285,2018,220,223,Dec,03--Dec,3,REIMB,REIMB,0,1,0
286,2018,220,223,Feb,05--Feb,5,MISSION,CMO,0,493,0
287,2018,220,223,Feb,05--Feb,5,MISSION,OVERHEAD,0,36,0
288,2018,220,223,Feb,05--Feb,5,REIMB,REIMB,0,3,0
289,2018,220,223,Jan,04--Jan,4,MISSION,CMO,0,453,0
290,2018,220,223,Jan,04--Jan,4,MISSION,OVERHEAD,0,21,0
291,2018,220,223,Jul,10--Jul,10,MISSION,,0,13,0
292,2018,220,223,Jul,10--Jul,10,MISSION,CMO,12,440,0.027272727
293,2018,220,223,Jul,10--Jul,10,MISSION,OVERHEAD,0,160,0
294,2018,220,223,Jul,10--Jul,10,REIMB,REIMB,0,2,0
295,2018,220,223,Jun,09--Jun,9,MISSION,CMO,8,402,0.019900498
296,2018,220,223,Jun,09--Jun,9,MISSION,OVERHEAD,0,170,0
297,2018,220,223,Jun,09--Jun,9,REIMB,REIMB,0,2,0
298,2018,220,223,Mar,06--Mar,6,MISSION,CMO,38,619.5,0.06133979
299,2018,220,223,Mar,06--Mar,6,MISSION,OVERHEAD,0,28,0
300,2018,220,223,May,08--May,8,MISSION,CMO,5,411,0.01216545
301,2018,220,223,May,08--May,8,MISSION,OVERHEAD,0,94,0
302,2018,220,223,Nov,02--Nov,2,MISSION,CMO,0,424,0
303,2018,220,223,Nov,02--Nov,2,MISSION,OVERHEAD,0,21,0
304,2018,220,223,Nov,02--Nov,2,REIMB,REIMB,0,2,0
305,2018,220,223,Oct,01--Oct,1,MISSION,CMO,0,494.5,0
306,2018,220,223,Oct,01--Oct,1,MISSION,OVERHEAD,0,24,0
307,2018,220,223,Sep,12--Sep,12,MISSION,CMO,0,109,0
308,2018,220,223,Sep,12--Sep,12,MISSION,OVERHEAD,16,352,0.045454545
309,2018,220,224,Apr,07--Apr,7,MISSION,CMO,98.1,1308.5,0.074971341
310,2018,220,224,Apr,07--Apr,7,MISSION,OVERHEAD,44,300.5,0.146422629
311,2018,220,224,Apr,07--Apr,7,REIMB,REIMB,10.2,137,0.074452555
312,2018,220,224,Aug,11--Aug,11,MISSION,CMO,117.9,1279,0.092181392
313,2018,220,224,Aug,11--Aug,11,MISSION,OVERHEAD,43,277,0.155234657
314,2018,220,224,Aug,11--Aug,11,REIMB,REIMB,17.5,439,0.039863326
315,2018,220,224,Dec,03--Dec,3,MISSION,CMO,80,1036,0.077220077
316,2018,220,224,Dec,03--Dec,3,MISSION,FTS,0,35,0
317,2018,220,224,Dec,03--Dec,3,MISSION,OVERHEAD,6.5,306,0.02124183
318,2018,220,224,Dec,03--Dec,3,MISSION,TSRA,0,2,0
319,2018,220,224,Dec,03--Dec,3,REIMB,REIMB,0,157,0
320,2018,220,224,Feb,05--Feb,5,MISSION,CMO,48.5,1128,0.042996454
321,2018,220,224,Feb,05--Feb,5,MISSION,OVERHEAD,23,275.5,0.083484574
322,2018,220,224,Feb,05--Feb,5,REIMB,REIMB,1,164,0.006097561
323,2018,220,224,Jan,04--Jan,4,MISSION,CMO,71.5,916.5,0.078014184
324,2018,220,224,Jan,04--Jan,4,MISSION,FTS,0,27,0
325,2018,220,224,Jan,04--Jan,4,MISSION,OVERHEAD,9.5,406.5,0.023370234
326,2018,220,224,Jan,04--Jan,4,MISSION,TSRA,0,17,0
327,2018,220,224,Jan,04--Jan,4,REIMB,REIMB,0,171,0
328,2018,220,224,Jul,10--Jul,10,MISSION,CMO,106.3,976,0.108913934
329,2018,220,224,Jul,10--Jul,10,MISSION,OVERHEAD,26,451,0.057649667
330,2018,220,224,Jul,10--Jul,10,REIMB,REIMB,7.5,294,0.025510204
331,2018,220,224,Jun,09--Jun,9,MISSION,CMO,143.6,1071,0.134080299
332,2018,220,224,Jun,09--Jun,9,MISSION,OVERHEAD,42.5,401,0.105985037
333,2018,220,224,Jun,09--Jun,9,REIMB,REIMB,2,316.5,0.006319115
334,2018,220,224,Mar,06--Mar,6,MISSION,CMO,108.3,1289,0.084018619
335,2018,220,224,Mar,06--Mar,6,MISSION,OVERHEAD,11.5,202,0.056930693
336,2018,220,224,Mar,06--Mar,6,REIMB,REIMB,11,194,0.056701031
337,2018,220,224,May,08--May,8,MISSION,CMO,160,1165,0.137339056
